UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,FIRST_MESSAGE_TIMESTAMP,LAST_MESSAGE_TIMESTAMP,FIRST_MESSAGE_VALUE,HIGH_MESSAGE_VALUE,HIGH_MESSAGE_TIMESTAMP,LOW_MESSAGE_VALUE,LOW_MESSAGE_TIMESTAMP,LAST_MESSAGE_VALUE,TOTAL_INDEX_UPDATES,VOLUME,QUOTE_VOLUME,VOLUME_TOP_TIER,QUOTE_VOLUME_TOP_TIER,VOLUME_DIRECT,QUOTE_VOLUME_DIRECT,VOLUME_TOP_TIER_DIRECT,QUOTE_VOLUME_TOP_TIER_DIRECT
DAY,1298678400,267,cadli,BTC-USD,0.911130113234253,0.97,0.91061,0.958,1298678760,1298762640,0.911117692852088,0.97,1298679660,0.91061,1298679240,0.958,37,4744.406,4452.63170401,4744.406,4452.63170401,4744.406,4452.63170401,4744.406,4452.63170401
DAY,1298764800,267,cadli,BTC-USD,0.958,0.958,0.89,0.89,1298766540,1298850600,0.958,0.958,1298797320,0.89,1298850600,0.89,50,23268.75,21576.81744681,23268.75,21576.81744681,23268.75,21576.81744681,23268.75,21576.81744681
DAY,1298851200,267,cadli,BTC-USD,0.89,0.92001,0.846889662666667,0.862066387445658,1298851380,1298937120,0.89009,0.92001,1298910540,0.846889662666667,1298904660,0.862066387445658,51,4651.674,4108.59689775,4651.674,4108.59689775,4651.674,4108.59689775,4651.674,4108.59689775
DAY,1298937600,267,cadli,BTC-USD,0.862066387445658,0.9699,0.8502,0.920212695238095,1298938020,1299020340,0.8601,0.9699,1298964000,0.8502,1298939100,0.920212695238095,56,22569.783,21413.4272225,22569.783,21413.4272225,22569.783,21413.4272225,22569.783,21413.4272225
DAY,1299024000,267,cadli,BTC-USD,0.920212695238095,0.94,0.9102,0.9399,1299024420,1299108540,0.92021,0.94,1299095220,0.9102,1299084540,0.9399,42,2741.873,2533.96277938,2741.873,2533.96277938,2741.873,2533.96277938,2741.873,2533.96277938
DAY,1299110400,267,cadli,BTC-USD,0.9399,0.9399,0.91,0.93909,1299117240,1299196200,0.912728771428571,0.9399,1299121260,0.91,1299189180,0.93909,41,2746.67,2520.5789488,2746.67,2520.5789488,2746.67,2520.5789488,2746.67,2520.5789488
DAY,1299196800,267,cadli,BTC-USD,0.93909,0.93909,0.9011152,0.9011152,1299199800,1299275100,0.917742016111111,0.939,1299208920,0.9011152,1299275100,0.9011152,35,2711.885,2469.56419698,2711.885,2469.56419698,2711.885,2469.56419698,2711.885,2469.56419698
DAY,1299283200,267,cadli,BTC-USD,0.9011152,0.9189,0.832399994631579,0.9103,1299288300,1299368220,0.91,0.9189,1299334140,0.832399994631579,1299367200,0.9103,51,12570.588,11115.0386486,12570.588,11115.0386486,12570.588,11115.0386486,12570.588,11115.0386486
DAY,1299369600,267,cadli,BTC-USD,0.9103,0.9103,0.8101,0.890922680958859,1299376080,1299455220,0.9098,0.9098,1299376080,0.8101,1299435900,0.890922680958859,80,12626.492,10775.11277662,12626.492,10775.11277662,12626.492,10775.11277662,12626.492,10775.11277662
DAY,1299456000,267,cadli,BTC-USD,0.890922680958859,0.909,0.846,0.88502,1299459000,1299541620,0.87,0.909,1299521460,0.846,1299471960,0.88502,50,15271.268,13527.29787862,15271.268,13527.29787862,15271.268,13527.29787862,15271.268,13527.29787862
DAY,1299542400,267,cadli,BTC-USD,0.88502,0.88502,0.84999,0.86999,1299543780,1299627360,0.88502,0.88502,1299543780,0.84999,1299543840,0.86999,55,4527.851,3931.42188925,4527.851,3931.42188925,4527.851,3931.42188925,4527.851,3931.42188925
DAY,1299628800,267,cadli,BTC-USD,0.86999,0.87,0.85,0.861898156979632,1299628860,1299714780,0.85132,0.87,1299677400,0.85,1299710400,0.861898156979632,40,4546.046,3881.21600555,4546.046,3881.21600555,4546.046,3881.21600555,4546.046,3881.21600555
DAY,1299715200,267,cadli,BTC-USD,0.861898156979632,0.9329,0.84977355987234,0.9329,1299719880,1299800280,0.86449,0.9329,1299800280,0.84977355987234,1299726180,0.9329,39,8869.013,7895.07394061,8869.013,7895.07394061,8869.013,7895.07394061,8869.013,7895.07394061
DAY,1299801600,267,cadli,BTC-USD,0.9329,0.9329,0.860743927187187,0.88,1299810060,1299886920,0.89,0.925,1299821700,0.860743927187187,1299814500,0.88,34,3725.512,3301.73293993,3725.512,3301.73293993,3725.512,3301.73293993,3725.512,3301.73293993
DAY,1299888000,267,cadli,BTC-USD,0.88,0.9197,0.88,0.918,1299888660,1299973740,0.88,0.9197,1299950820,0.88,1299940860,0.918,41,4822.829,4319.59966173,4822.829,4319.59966173,4822.829,4319.59966173,4822.829,4319.59966173
DAY,1299974400,267,cadli,BTC-USD,0.918,0.918,0.89187,0.89249,1299975420,1300059900,0.894742155140871,0.918,1299979140,0.89187,1300042620,0.89249,16,660.31,595.4206011,660.31,595.4206011,660.31,595.4206011,660.31,595.4206011
